SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
BALKRISHNA,EQ,76.15,77.45,74.0,74.35,74.65,76.25,9727,733294.95,2017-06-28,164,INE875R01011
BALKRISIND,EQ,1641.0,1659.3,1620.0,1642.05,1640.65,1643.8,156780,257053151.35,2017-06-28,9071,INE787D01026
BALLARPUR,EQ,15.25,15.7,15.25,15.55,15.7,15.35,645686,10031299.95,2017-06-28,1022,INE294A01037
BALMLAWRIE,EQ,214.75,217.4,213.1,216.8,217.3,214.75,65851,14181464.25,2017-06-28,2119,INE164A01016
BALPHARMA,EQ,103.0,103.0,97.0,97.45,97.4,101.35,39832,3913358.35,2017-06-28,590,INE083D01012
BALRAMCHIN,EQ,144.5,149.8,144.5,149.15,149.25,146.15,1287259,191024061.7,2017-06-28,10278,INE119A01028
BANARBEADS,EQ,70.05,71.95,70.0,70.45,70.5,70.25,2230,157624.25,2017-06-28,18,INE655B01011
BANARISUG,EQ,1755.0,1773.0,1718.0,1751.4,1773.0,1731.2,1161,2030660.25,2017-06-28,139,INE459A01010
BANCOINDIA,EQ,216.0,219.85,214.0,216.1,215.5,215.65,34661,7521813.15,2017-06-28,1459,INE213C01025
BANG,EQ,36.3,38.0,35.75,37.0,37.0,36.25,1283,47549.45,2017-06-28,14,INE863I01016
BANKBARODA,EQ,153.0,156.4,152.2,155.6,155.9,154.85,6999255,1083747528.05,2017-06-28,41604,INE028A01039
BANKBEES,EQ,2341.89,2355.72,2335.91,2354.88,2355.0,2347.31,8106,19042359.5,2017-06-28,318,INF732E01078
BANKINDIA,EQ,132.0,137.65,131.35,136.75,136.55,133.55,4789755,646377589.3,2017-06-28,22220,INE084A01016
BANSWRAS,EQ,180.65,180.7,170.0,177.65,175.5,173.75,5051,898903.75,2017-06-28,163,INE629D01012
BARTRONICS,EQ,14.0,14.3,13.95,14.15,14.2,14.05,55604,783309.4,2017-06-28,208,INE855F01034
BASF,EQ,1560.0,1619.0,1556.0,1600.65,1608.0,1563.45,20518,32463014.4,2017-06-28,2172,INE373A01013
BASML,EQ,293.6,304.0,293.6,297.45,300.0,298.7,2534,755644.6,2017-06-28,45,INE186H01014
BATAINDIA,EQ,534.7,534.7,522.65,529.05,525.6,530.05,265998,140485457.35,2017-06-28,6370,INE176A01028
BAYERCROP,EQ,4610.7,4610.7,4570.0,4586.85,4580.35,4610.7,21716,99571637.35,2017-06-28,6356,INE462A01022
BBL,EQ,1386.0,1440.45,1346.35,1413.45,1413.9,1385.1,58299,82071715.5,2017-06-28,3780,INE464A01028
BBTC,EQ,875.1,892.5,873.95,886.95,890.0,880.85,53341,47093416.2,2017-06-28,2105,INE050A01025
BEARDSELL,EQ,53.05,54.5,52.1,54.5,54.5,53.05,584,30772.25,2017-06-28,20,INE520H01022
BEDMUTHA,BE,32.95,34.35,32.95,33.3,33.1,33.95,10283,342180.65,2017-06-28,45,INE844K01012
BEL,EQ,159.8,162.0,157.6,159.75,159.6,160.55,3571077,572907986.55,2017-06-28,33232,INE263A01024
BEML,EQ,1477.0,1489.8,1430.15,1438.2,1437.0,1483.9,718466,1039799004.55,2017-06-28,18735,INE258A01016
BEPL,EQ,51.3,59.6,50.4,58.8,58.4,51.35,11219707,641921830.6,2017-06-28,34799,INE922A01025
BERGEPAINT,EQ,240.0,240.65,234.4,236.35,237.0,241.55,593353,140718216.05,2017-06-28,39789,INE463A01038
BFINVEST,EQ,180.0,185.3,178.0,182.95,183.3,180.8,126629,23045341.4,2017-06-28,2540,INE878K01010
BFUTILITIE,EQ,383.2,387.7,373.0,383.7,383.5,386.1,268032,102647591.2,2017-06-28,7153,INE243D01012
BGLOBAL,BE,4.55,4.95,4.55,4.95,4.95,4.75,4359,20411.05,2017-06-28,18,INE224M01013
BGRENERGY,EQ,142.85,144.45,140.65,142.95,142.85,142.55,117098,16704491.7,2017-06-28,1795,INE661I01014
BHAGERIA,EQ,299.8,305.8,296.0,300.5,299.2,299.8,16544,4999019.3,2017-06-28,1060,INE354C01027
BHAGYANGR,EQ,24.5,27.65,23.75,25.55,25.4,24.9,137313,3629877.5,2017-06-28,648,INE458B01036
